contentuid,content,,
9f36ba23-739b-4d07-b5a5-93516ee8bdea,吉斯洋基优质金属与皮革，既异域又复杂。谁知道它藏有什么宝藏。,,
b7523e7d-fa82-4361-b075-ea4b4f0c7639,手套箱,,
h9a343151g5563g422ag8281gab2d495e6b6a,快，快，快！,,
f3262302-1fe6-4452-b5b7-31558ce46a66,手榴弹,,
0ee01dc7-c3ff-49bc-b0f4-ee187999f2c8,当事情需要爆炸时的手榴弹。,,
2c653056-f063-43ad-ba86-34928ee7e2d8,哈尔辛的包,,
28906f91-5b1b-4552-ba79-a39519db02ae,帽子包,,
ac8d6be5-6f27-4f41-893c-8629a04ab71c,别担心！这个箱子将保护你获得的盾牌免受划痕、凹陷和元素的侵害。,,
48e36ccf-4356-47ec-804c-50995159fe55,头盔容器,,
40618ddf-a525-42b9-a49a-a133442a5f4c,头盔需要适当的储存以保持它们的光泽，这个容器正好提供了这一点。,,
h8e46c956g8014g4d05g9edbg5e651f853668,隐藏半恶魔,,
hb5febe29g6accg4c70gbe98g7a85ee430abd,神圣之剑,,
h12fddffeg0995g4a6ag8edfg8bc95001e9ea,因库布斯背带和魅魔下装,,
hce6a3927gdde6g4e65g8b85gb4572f142b32,因库布斯背带和魅魔下装的组合。,,
965224da-d43f-4862-81e8-73e26e1367b1,乐器箱,,
h33284568g6f69g423dgb3fege0e1d431e3e8,它将佩戴者与 罗丝 的神圣本质连接起来，赋予他们短暂的预言洞察力和增强的魔法感知。,,
fe152d6a-41c7-402a-b788-c1251386b30d,贾希拉的包,,
25efa2b1-3d93-4da6-b2ec-e9761f4543ca,珠宝盒,,
c825bc1b-33a6-46d0-ac82-87dd72f48f05,卡菈克的包,,
4092a39f-77ef-4f79-9393-d04e4252d46d,纪念品编织箱,,
917c8516-86a5-4393-bb26-1b954eaf946e,莱埃泽尔的包,,
h5a4ae4fbga1b9g4062g9c54gda9bac63f4de,罗丝的灵光,,
hf3133d0egc4d0g45e2gb3a9gf7226ad0cacc,罗丝的拥抱,,
h512aca37g8c7dg4cdagbecag47235a41a7c2,罗丝的暗影流,,
h7baceadag2e97g46b5g9f34gc32607915f2a,卢克莱提安高跟鞋,,
hbdcfea9cg4adcg445ag9936g4621d69a2f5c,卢克莱提安高跟鞋（含丝袜）,,
h302b894eg644fg4fdfgb2cagb9e90b1cf47a,卢克莱提安护腕,,
h83a63d03g7619g40bdgbbf1gd359d000107c,卢克莱提安护腕（不含羽毛）,,
h5acaa594gf0cag4d76ga81eg25b333849b86,卢克莱提安面具,,
h23aeab0agbf21g4c29gb1c3g20257d0f2d75,卢克莱提安面具（无羽毛）,,
h306ce259gdb48g46eaga9f3gf797f807037c,卢克莱提安长袍,,
h5c85d9fbg308fg43d0g8b46g61ef767807b5,卢克莱提安长袍（无裙）,,
h195df7d5g94abg442fgb00eg090c87602f19,卢克莱提安长披肩（不含装饰品）,,
h64a28d0fg68f4g4e3bgb8d7g2c9b0cfaae53,卢克莱提安长披肩（没有装饰品或长羽毛）,,
hc3bb93a3g00c9g45b6g9739g50f562cb4162,卢克莱提安长披肩（无长羽毛）,,
aa27a3e1-b005-496d-ba11-9a2fa1ed2ae6,面具可以放在这个包里，然后被遗忘。,,
1c53e0be-538b-4e87-9435-30d681614c88,面具包,,
h92d48163g5d0eg4314gb6c1gab7e4dfb6d5d,MEQ半板甲染料,,
h25f9cd4cgededg45d2g945cgd777d5f5a090,MEQ裸色染料,,
h0d5668d9gfa1ag49c9g89dcg2a612952aa70,MEQ默认染料,,
h6e944fb6g1629g473fg8407g6c828d3bf0d8,MEQ深色皮革染料,,
h506f1745g4b7eg4ce7g825bg73de5537ffd7,MEQ珠宝染料,,
0cd7c664-4008-4e31-b7b1-45307d02e3df,明斯克的包,,
4e21b069-bf89-4f1e-a36b-f2b5fcd890a1,明萨拉的包,,
dab382ef-d09a-4aab-9b6d-43a4046ebeb9,密斯特拉的象征，笨重因为所有的书...这个包只能属于一个特别研究的年轻巫师。,,
61b23776-d052-4a9a-ba01-2ce81c0f606f,需要一个包来装所有的工具吗？好的。它在这里。,,
42510080-4f8b-4f32-a9e4-ab19af1ad3b3,再也不要丢失一只手套，把它们扔进这个箱子里！,,
a272fd23-5c1f-43e1-a163-6f91ed7d9069,再也不要丢失重要物品...只需把它放在这个箱子里，然后忘记它。,,
h70718c5dg76b9g402cgbe76ge5b2d9abaa1f,无,,
hcb84cf8cgaa32g447aga6d6g634244eecae1,NPC染料包,,
hfbba7aa-b890-4d4e-95cd-97351d584248,O型圈颈链,,
h886c896cg6db5g415ega07dg674b2761dfd9,奥林的男装,,
h6fcc933bga474g40c8g9f65ge60ed8601ae9,P4 粉色、黑色和银色金属混合,,
h31faa053gfb84g4ed3ga5fcg329680dd6efa,P4 黑色配银色金属和深红色皮革,,
h91ad7a3dg5947g4e6fgb6a1g05f69eb23998,P4 黑色与粉色和银色金属的混合,,
h41afb651g5905g448egb733g54c8f1568cc3,P4 黑色与青色和银色金属的混合,,
h7484530cg2453g4e86g8896g9fc30dc7db3e,P4 黑色与紫色和银色金属的混合,,
